artist_name,artist_spotify_ID
Adele,4dpARuHxo51G3z768sgnrY
The Kid LAROI & Justin Bieber,2tIP7SsRs7vjIcLrU85W8J
Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ
Brenda Lee,4cPHsZM98sKzmV26wlwD2W
Bobby Helms,38EmEgXkgK51MT2tPY0EoC
Lil Nas X & Jack Harlow,7jVv8c5Fj3E9VhNjxT4snq
Burl Ives,0MHgLfmQdutffmvWe5XBTN
Glass Animals,4yvcSjfu4PC0CYQyLy4wSq
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V
Doja Cat,5cj0lLjcoR7YOSnhnX0Po5
Andy Williams,4sj6D0zlMOl25nprDJBiU9
Elton John & Dua Lipa,3PhoLpVuITZKcymswpck5b
Silk Sonic (Bruno Mars & Anderson .Paak),0du5cEVh5yTK9QJze8zA0C
Wham!,5lpH0xAS4fVfLkACg9DAuM
Jose Feliciano,7K78lVZ8XzkjfRSI7570FF
Nat King Cole,7v4imS0moSyGdXyLgVTIV7
The Ronettes,0LyfQWJT6nXafLPZqxe9Of
Michael Buble,5v8jlSmAQfrkTjAlpUfWtu
Taylor Swift,06HL4z0CvFAxyc27GXpf02
Dean Martin,1Mxqyy3pSjf8kZZL4QVxS0
Walker Hayes,7sKxqpSqbIzphAKAhrqvlf
GAYLE,2VSHKHBTiXWplO8lxcnUC9
Bing Crosby,6ZjFtWeHP9XN7FeKSUe80S
Olivia Rodrigo,1McMsnEElThX1knmY4oliG
Kelly Clarkson,3BmGtnKgCSGYIUhmivXKWX
Wizkid Featuring Justin Bieber & Tems,3tVQdUvClmAT7URs9V3rsp
Drake Featuring Future & Young Thug,3TVXtAsR1Inumwj472S9r4
Maneskin,0lAWpj5szCSwM4rUMHYmrr
Post Malone & The Weeknd,246dkjvS1zLTtiykXe5h60
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR
The Weeknd & Ariana Grande,1Xyo4u8uXC1ZmMpatF05PJ
Justin Bieber,22wbnEMDvgVIAGdFeek6ET
Chuck Berry,293zczrfYafIItmnmM3coR
Jason Aldean & Carrie Underwood,3FfvYsEGaIb52QPXhg4DcH
Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH
NEIKED X Mae Muller X Polo G,5H6xmHXjsq98NLbEjuE29f
CKay,048LktY5zMnakWq7PTtFrz
THE ANXIETY: WILLOW & Tyler Cole,64H8UqGLbJFHwKtGxiV8OP
Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,1dID9zgn0OV0Y8ud7Mh2tS
Coldplay x BTS,4gzpq5DPGxSnKTe4SA8HAU
Luke Combs,718COspgdWOnwOFpJHRZHS
"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage",0Njy6yR9LykNKYg9yE23QN
Jordan Davis Featuring Luke Bryan,77kULmXAQ6vWer7IIHdGzI
Kodak Black,2Pv9ZGQqEflbdavLk6rr0t
 Farruko,329e4yvIujISKGKz1BZZbO
Chris Stapleton,4YLtscXsxbVgi031ovDDdh
Rod Wave,45TgXXqMDdF8BkjA83OM7z
Blxst & Tyga Featuring Ty Dolla $ign,4qXC0i02bSFstECuXP2ZpL
Zac Brown Band,6yJCxee7QumYr820xdIsjo
Michael Ray,6ghiFYcwn2Vzl6K50U0UPz
Chloe,1FtBEIWAwvw5ymBen5GICR
Normani Featuring Cardi B,2cWZOOzeOm4WmBJRnD5R7I
Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM
Kane Brown,3oSJ7TBVCWMDMiYjXNiCKE
Kenny Chesney,3grHWM9bx2E9vwJCdlRv9O
Baby Keem & Kendrick Lamar,5SXuuuRpukkTvsLuUknva1
Imagine Dragons X JID,53XhwfbYqKCa1cC15pYq2q
Capella Grey,59HbaJ5E8ud7FNLGqUN1KH
Latto,3MdXrJWsbVzdn6fe5JYkSQ
Meek Mill Featuring Lil Baby & Lil Durk,20sxb77xiYeusSH8cVdatc
Summer Walker & SZA,57LYzLEk2LcFghVwuWbcuS
Juice WRLD,4MCBfE4596Uoi2O4DtmEMz
Dan + Shay,1ThjgakWDfCn4XcD7H0CT0
Jon Pardi,4MoAOfV4ROWofLG3a3hhBN
Jimmie Allen & Brad Paisley,147nKr9upHZSSxqCzh9j7c
Priscilla Block,6BpvASijzSWj7gnZD4Dvf1
Young Thug With Drake & Travis Scott,50co4Is1HCEo8bhOyUWKpn
Polo G,6AgTAQt8XS6jRWi4sX7w49
Giveon,4fxd5Ee7UefO4CUXgwJ7IP
Wale Featuring J. Cole,67nwj3Y5sZQLl72VNUHEYE
Cody Johnson,6zLBxLdl60ekBLpawtT63I
Moneybagg Yo,3tJoFztHeIJkJWMrx0td2f
Lee Brice,5Zq7R5qmi58ByYyBQTlNuk
Eric Church,2IvkS5MXK0vPGnwyJsrEyV
Kelsea Ballerini Featuring Kenny Chesney,3RqBeV12Tt7A8xH3zBDDUF
Swedish House Mafia & The Weeknd,1h6Cn3P4NGzXbaXidqURXs
Jessie Murph,2yLzlEFtIS0Q9UkyBZdQA7
Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD
"Yung Bleu, Chris Brown & 2 Chainz",7wlFDEWiM5OoIAt8RSli8b
42 Dugg Featuring Future,45gHcnDnMC15sgx3VL7ROG
Aventura x Bad Bunny,1qto4hHid1P71emI6Fd8xi
