artist_ID,artist_name,artist_spotify_ID
1,Adele,4dpARuHxo51G3z768sgnrY
2,The Kid LAROI & Justin Bieber,2tIP7SsRs7vjIcLrU85W8J
3,Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ
4,Brenda Lee,4cPHsZM98sKzmV26wlwD2W
5,Bobby Helms,38EmEgXkgK51MT2tPY0EoC
6,Lil Nas X & Jack Harlow,7jVv8c5Fj3E9VhNjxT4snq
7,Burl Ives,0MHgLfmQdutffmvWe5XBTN
8,Glass Animals,4yvcSjfu4PC0CYQyLy4wSq
9,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V
10,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5
11,Andy Williams,4sj6D0zlMOl25nprDJBiU9
12,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V
13,Elton John & Dua Lipa,3PhoLpVuITZKcymswpck5b
14,Silk Sonic (Bruno Mars & Anderson .Paak),0du5cEVh5yTK9QJze8zA0C
15,Wham!,5lpH0xAS4fVfLkACg9DAuM
16,Jose Feliciano,7K78lVZ8XzkjfRSI7570FF
17,Darlene Love,4iHNK0tOyZPYnBU7nGAgpQ
18,Nat King Cole,7v4imS0moSyGdXyLgVTIV7
19,The Ronettes,0LyfQWJT6nXafLPZqxe9Of
20,Michael Buble,5v8jlSmAQfrkTjAlpUfWtu
21,Taylor Swift,06HL4z0CvFAxyc27GXpf02
22,Dean Martin,1Mxqyy3pSjf8kZZL4QVxS0
23,Walker Hayes,7sKxqpSqbIzphAKAhrqvlf
24,GAYLE,2VSHKHBTiXWplO8lxcnUC9
25,Bing Crosby,6ZjFtWeHP9XN7FeKSUe80S
26,Olivia Rodrigo,1McMsnEElThX1knmY4oliG
27,Kelly Clarkson,3BmGtnKgCSGYIUhmivXKWX
28,Wizkid Featuring Justin Bieber & Tems,3tVQdUvClmAT7URs9V3rsp
29,Doja Cat & The Weeknd,5cj0lLjcoR7YOSnhnX0Po5
30,Andy Williams,4sj6D0zlMOl25nprDJBiU9
31,Drake Featuring Future & Young Thug,3TVXtAsR1Inumwj472S9r4
32,Maneskin,0lAWpj5szCSwM4rUMHYmrr
33,Post Malone & The Weeknd,246dkjvS1zLTtiykXe5h60
34,Doja Cat Featuring SZA,5cj0lLjcoR7YOSnhnX0Po5
35,Gene Autry,0MHgLfmQdutffmvWe5XBTN
36,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR
37,Adele,4dpARuHxo51G3z768sgnrY
38,The Weeknd & Ariana Grande,1Xyo4u8uXC1ZmMpatF05PJ
39,Justin Bieber,22wbnEMDvgVIAGdFeek6ET
40,Chuck Berry,293zczrfYafIItmnmM3coR
41,Drake Featuring 21 Savage & Project Pat,3TVXtAsR1Inumwj472S9r4
42,Jason Aldean & Carrie Underwood,3FfvYsEGaIb52QPXhg4DcH
43,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq
44,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH
45,NEIKED X Mae Muller X Polo G,5H6xmHXjsq98NLbEjuE29f
46,Perry Como,5v8jlSmAQfrkTjAlpUfWtu
47,CKay,048LktY5zMnakWq7PTtFrz
48,THE ANXIETY: WILLOW & Tyler Cole,64H8UqGLbJFHwKtGxiV8OP
