,artist_name,api_artist,venue,country,location,datetime
0,Nat King Cole,Not Found,Not Found,Not Found,Not Found,Not Found
1,Jose Feliciano,José Feliciano,Saban Theatre,United States,"Beverly Hills, CA",2021-12-17
2,Adele,Adele,The Colosseum at Caesars Palace,United States,"Las Vegas, NV",2022-01-21
3,Brenda Lee,Not Found,Not Found,Not Found,Not Found,Not Found
4,Eric Church,Eric Church,Bon Secours Wellness Arena,United States,"Greenville, SC",2021-12-17
5,Ariana Grande,Not Found,Not Found,Not Found,Not Found,Not Found
6,Wale Featuring J. Cole,Not Found,Not Found,Not Found,Not Found,Not Found
7,42 Dugg Featuring Future,Not Found,Not Found,Not Found,Not Found,Not Found
8,Morgan Wallen,Morgan Wallen,Ford Center,United States,"Evansville, IN",2022-02-03
9,CKay,CKay,Balneario De Carolina,Puerto Rico,"Carolina, Puerto Rico",2022-03-24
10,Andy Williams,Not Found,Not Found,Not Found,Not Found,Not Found
11,Polo G,Polo G,Hall of Fame Tour,United States,"Boston, MA",2021-12-15
12, Farruko,Not Found,Not Found,Not Found,Not Found,Not Found
13,NEIKED X Mae Muller X Polo G,Not Found,Not Found,Not Found,Not Found,Not Found
14,Lee Brice,Lee Brice,Mission Ballroom,United States,"Denver, CO",2022-01-15
15,Latto,Not Found,Not Found,Not Found,Not Found,Not Found
16,Young Thug With Drake & Travis Scott,Not Found,Not Found,Not Found,Not Found,Not Found
17,Normani Featuring Cardi B,Not Found,Not Found,Not Found,Not Found,Not Found
18,Luke Combs,Luke Combs,T-Mobile Arena,United States,"Las Vegas, NV",2021-12-15
19,Burl Ives,Not Found,Not Found,Not Found,Not Found,Not Found
20,Aventura x Bad Bunny,Not Found,Not Found,Not Found,Not Found,Not Found
21,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,Not Found,Not Found,Not Found,Not Found,Not Found
22,Jason Aldean & Carrie Underwood,Not Found,Not Found,Not Found,Not Found,Not Found
23,Kenny Chesney,Kenny Chesney,Raymond James Stadium,United States,"Tampa, FL",2022-04-23
24,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage",Not Found,Not Found,Not Found,Not Found,Not Found
25,Drake Featuring Future & Young Thug,Not Found,Not Found,Not Found,Not Found,Not Found
26,Jordan Davis Featuring Luke Bryan,Not Found,Not Found,Not Found,Not Found,Not Found
27,Silk Sonic (Bruno Mars & Anderson .Paak),Not Found,Not Found,Not Found,Not Found,Not Found
28,Lil Nas X & Jack Harlow,Not Found,Not Found,Not Found,Not Found,Not Found
29,Kelly Clarkson,Not Found,Not Found,Not Found,Not Found,Not Found
30,GAYLE,Not Found,Not Found,Not Found,Not Found,Not Found
31,Michael Ray,Michael Ray,Grand Ole Opry,United States,"Nashville, TN",2022-01-07
32,Bing Crosby,Not Found,Not Found,Not Found,Not Found,Not Found
33,Chuck Berry,Not Found,Not Found,Not Found,Not Found,Not Found
34,The Ronettes,Not Found,Not Found,Not Found,Not Found,Not Found
35,Zac Brown Band,Zac Brown Band,National Soccer Hall of Fame Induction Ceremony Concert,United States,"Frisco, TX",2022-05-21
36,The Kid LAROI & Justin Bieber,Not Found,Not Found,Not Found,Not Found,Not Found
37,Dean Martin,Not Found,Not Found,Not Found,Not Found,Not Found
38,Olivia Rodrigo,Olivia Rodrigo,Bill Graham Civic Auditorium,United States,"San Francisco, CA",2022-04-02
39,THE ANXIETY: WILLOW & Tyler Cole,Not Found,Not Found,Not Found,Not Found,Not Found
40,Elton John & Dua Lipa,Not Found,Not Found,Not Found,Not Found,Not Found
41,Maneskin,Måneskin,The Forum,United States,"Los Angeles, CA",2022-01-15
42,Ed Sheeran,Ed Sheeran,Šv. Kotrynos bažnyčia,Lithuania,"Vilnius, Lithuania",2021-12-16
43,Chloe,Not Found,Not Found,Not Found,Not Found,Not Found
44,Dan + Shay,Dan + Shay,Hard Rock Live (in Seminole Hard Rock),United States,"Hollywood, FL",2022-04-21
45,Imagine Dragons X JID,Not Found,Not Found,Not Found,Not Found,Not Found
46,Swedish House Mafia & The Weeknd,Not Found,Not Found,Not Found,Not Found,Not Found
47,Coldplay x BTS,Not Found,Not Found,Not Found,Not Found,Not Found
48,Capella Grey,Not Found,Not Found,Not Found,Not Found,Not Found
49,Billie Eilish,Billie Eilish,Smoothie King Center,United States,"New Orleans, LA",2022-02-03
50,Priscilla Block,Priscilla Block,Brown Theatre,United States,"Louisville, KY",2022-01-06
51,The Weeknd & Ariana Grande,Not Found,Not Found,Not Found,Not Found,Not Found
52,Moneybagg Yo,MoneyBagg Yo,Little Caesars Arena,United States,"Detroit, MI",2021-12-17
53,Wizkid Featuring Justin Bieber & Tems,Not Found,Not Found,Not Found,Not Found,Not Found
54,Justin Bieber,Justin Bieber,Pechanga Arena San Diego,United States,"San Diego, CA",2022-02-18
55,Baby Keem & Kendrick Lamar,Not Found,Not Found,Not Found,Not Found,Not Found
56,Walker Hayes,Walker Hayes,MO Country,United States,"Grain Valley, MO",2021-12-18
57,Cody Johnson,Cody Johnson Band,BB&T Arena,United States,"Newport, KY",2022-01-21
58,Juice WRLD,Not Found,Not Found,Not Found,Not Found,Not Found
59,Bobby Helms,Not Found,Not Found,Not Found,Not Found,Not Found
60,Jimmie Allen & Brad Paisley,Not Found,Not Found,Not Found,Not Found,Not Found
61,Jonas Brothers,Jonas Brothers,Capital One Arena,United States,"Washington, DC",2021-12-14
62,Michael Buble,Michael Bublé,Resorts World Las Vegas,United States,"Las Vegas, NV",2022-04-27
63,Chris Stapleton,Chris Stapleton,Huntington Center,United States,"Toledo, OH",2022-04-20
64,Mariah Carey,Not Found,Not Found,Not Found,Not Found,Not Found
65,Giveon,Giveon,The Novo,United States,"Los Angeles, CA",2021-12-15
66,Meek Mill Featuring Lil Baby & Lil Durk,Not Found,Not Found,Not Found,Not Found,Not Found
67,Glass Animals,Glass Animals,Comerica Theatre,United States,"Phoenix, AZ",2022-03-04
68,Kane Brown,Kane Brown,Blessed & Free Tour,United States,"Indianapolis, IN",2022-01-06
69,Blxst & Tyga Featuring Ty Dolla $ign,Not Found,Not Found,Not Found,Not Found,Not Found
70,Rod Wave,Rod Wave,Thomas & Mack Center,United States,"Las Vegas, NV",2021-12-17
71,Summer Walker & SZA,Not Found,Not Found,Not Found,Not Found,Not Found
72,Jessie Murph,Not Found,Not Found,Not Found,Not Found,Not Found
73,Kodak Black,Not Found,Not Found,Not Found,Not Found,Not Found
74,Taylor Swift,Not Found,Not Found,Not Found,Not Found,Not Found
75,Kelsea Ballerini Featuring Kenny Chesney,Not Found,Not Found,Not Found,Not Found,Not Found
76,"Yung Bleu, Chris Brown & 2 Chainz",Not Found,Not Found,Not Found,Not Found,Not Found
77,Wham!,Not Found,Not Found,Not Found,Not Found,Not Found
78,Jon Pardi,Jon Pardi,San Juan Municipal Park,United States,"San Juan, TX",2021-12-17
79,Post Malone & The Weeknd,Not Found,Not Found,Not Found,Not Found,Not Found
80,Doja Cat,DOJA CAT,Capital One Arena,United States,"Washington, DC",2021-12-14
