song_ranking,artist_name,song_title,track_spotify_ID,artist_spotify_ID,song_duration[ms],song_release_date,spotify_popularity,album_name,album_type,song_ID,artist_ID,album_ID
1,Adele,Easy On Me,0gplL1WMoJ6iYaPgMCL0gX,4dpARuHxo51G3z768sgnrY,224694,2021-10-14,100,Easy On Me,single,1,1,1
2,The Kid LAROI & Justin Bieber,Stay,5HCyWlXZPP0y6Gqq8TgA20,2tIP7SsRs7vjIcLrU85W8J,141805,2021-07-09,98,STAY (with Justin Bieber),single,2,2,2
3,Mariah Carey,All I Want For Christmas Is You,0bYg9bo50gSsH3LtXe2SQn,4iHNK0tOyZPYnBU7nGAgpQ,241106,1994-11-01,96,Merry Christmas,album,3,3,3
4,Brenda Lee,Rockin' Around The Christmas Tree,2EjXfH91m7f8HiJN1yQg97,4cPHsZM98sKzmV26wlwD2W,126266,1964-10-19,92,Merry Christmas From Brenda Lee,album,4,4,4
5,Bobby Helms,Jingle Bell Rock,7vQbuQcyTflfCIOu3Uzzya,38EmEgXkgK51MT2tPY0EoC,130973,1957-12-02,92,Jingle Bell Rock/Captain Santa Claus (And His Reindeer Space Patrol),single,5,5,5
6,Lil Nas X & Jack Harlow,Industry Baby,27NovPIUIRrOZoCHxABJwK,7jVv8c5Fj3E9VhNjxT4snq,212000,2021-07-23,97,INDUSTRY BABY (feat. Jack Harlow),single,6,6,6
7,Burl Ives,A Holly Jolly Christmas,77khP2fIVhSW23NwxrRluh,0MHgLfmQdutffmvWe5XBTN,135533,1965-01-01,84,Have A Holly Jolly Christmas,album,7,7,7
8,Glass Animals,Heat Waves,3USxtqRwSYz57Ewm6wWRMp,4yvcSjfu4PC0CYQyLy4wSq,238805,2020-08-07,90,Dreamland,album,8,8,8
9,Ed Sheeran,Shivers,50nfwKoDiSYg8zOCREWAm5,6eUKZXaKkcviH0Ku9w2n3V,207853,2021-10-29,95,=,album,9,9,9
10,Doja Cat,Need To Know,3Vi5XqYrmQgOYBajMWSvCi,5cj0lLjcoR7YOSnhnX0Po5,210560,2021-06-25,94,Planet Her,album,10,10,10
11,Andy Williams,It's The Most Wonderful Time Of The Year,5hslUAKq9I9CG2bAulFkHN,4sj6D0zlMOl25nprDJBiU9,151933,1963-11-24,90,The Andy Williams Christmas Album,album,11,11,11
12,Ed Sheeran,Bad Habits,3rmo8F54jFF8OgYsqTxm5d,6eUKZXaKkcviH0Ku9w2n3V,230746,2021-10-29,94,=,album,12,12,12
13,Elton John & Dua Lipa,Cold Heart (PNAU Remix),6zSpb8dQRaw0M1dK8PBwQz,3PhoLpVuITZKcymswpck5b,202735,2021-08-13,97,Cold Heart (PNAU Remix),single,13,13,13
14,Silk Sonic (Bruno Mars & Anderson .Paak),Smokin Out The Window,4iN16F8JtVxG2UTzp3avGl,0du5cEVh5yTK9QJze8zA0C,197442,2021-11-05,91,Smokin Out The Window,single,14,14,14
15,Wham!,Last Christmas,2FRnf9qhLbvw8fu4IBXx78,5lpH0xAS4fVfLkACg9DAuM,262960,1984-11-29,92,LAST CHRISTMAS,single,15,15,15
16,Jose Feliciano,Feliz Navidad,0oPdaY4dXtc3ZsaG17V972,7K78lVZ8XzkjfRSI7570FF,182066,2002-09-24,83,Feliz Navidad,album,16,16,16
17,Darlene Love,Christmas (Baby Please Come Home),3PIDciSFdrQxSQSihim3hN,4iHNK0tOyZPYnBU7nGAgpQ,153240,1994-11-01,84,Merry Christmas,album,17,17,17
18,Nat King Cole,The Christmas Song (Merry Christmas To You),4PS1e8f2LvuTFgUs1Cn3ON,7v4imS0moSyGdXyLgVTIV7,192160,1962,87,The Christmas Song (Expanded Edition),album,18,18,18
19,The Ronettes,Sleigh Ride,5ASM6Qjiav2xPe7gRkQMsQ,0LyfQWJT6nXafLPZqxe9Of,181266,1963,87,A Christmas Gift For You From Phil Spector,compilation,19,19,19
20,Michael Buble,It's Beginning To Look A Lot Like Christmas,2pXpURmn6zC5ZYDMms6fwa,5v8jlSmAQfrkTjAlpUfWtu,155933,1999-08-20,86,Greatest Christmas Songs,album,20,20,20
21,Taylor Swift,All Too Well (Taylor's Version),5enxwA8aAbwZbf5qCHORXi,06HL4z0CvFAxyc27GXpf02,613026,2021-11-12,96,Red (Taylor's Version),album,21,21,21
22,Dean Martin,"Let It Snow, Let It Snow, Let It Snow",4kKdvXD0ez7jp1296JmAts,1Mxqyy3pSjf8kZZL4QVxS0,155453,1994-11-08,88,Christmas Songs by Sinatra,album,22,22,22
23,Walker Hayes,Fancy Like,3ZozFqJJlDBNIm4xqxn2ZD,7sKxqpSqbIzphAKAhrqvlf,161853,2021-06-04,83,Country Stuff,single,23,23,23
24,GAYLE,abcdefu,4fouWK6XVHhzl78KzQ1UjL,2VSHKHBTiXWplO8lxcnUC9,168601,2021-08-13,96,abcdefu,single,24,24,24
25,Bing Crosby,White Christmas,4so0Wek9Ig1p6CRCHuINwW,6ZjFtWeHP9XN7FeKSUe80S,177480,1942-01-01,85,Holiday Inn (Original Motion Picture Soundtrack),album,25,25,25
26,Olivia Rodrigo,Good 4 U,4ZtFanR9U6ndgddUvNcjcG,1McMsnEElThX1knmY4oliG,178146,2021-05-21,96,SOUR,album,26,26,26
27,Kelly Clarkson,Underneath The Tree,3YZE5qDV7u1ZD1gZc47ZeR,3BmGtnKgCSGYIUhmivXKWX,229640,2013-10-29,80,Wrapped In Red,album,27,27,27
28,Wizkid Featuring Justin Bieber & Tems,Essence,5FG7Tl93LdH117jEKYl3Cm,3tVQdUvClmAT7URs9V3rsp,248040,2020-10-29,79,Made In Lagos,album,28,28,28
29,Doja Cat & The Weeknd,You Right,0k4d5YPDr1r7FX77VdqWez,5cj0lLjcoR7YOSnhnX0Po5,186173,2021-06-25,89,Planet Her,album,29,29,29
30,Andy Williams,Happy Holiday / The Holiday Season,3sDdyBHQ60Cs1opmIyRvhp,4sj6D0zlMOl25nprDJBiU9,156866,1963-11-24,79,The Andy Williams Christmas Album,album,30,30,30
