song_ID,song_title,album_name,track_spotify_ID,artist_spotify_ID,song_ranking,spotify_popularity,song_duration[ms],song_release_date
1,Easy On Me,Easy On Me,0gplL1WMoJ6iYaPgMCL0gX,4dpARuHxo51G3z768sgnrY,1,100.0,224694.0,2021-10-14
2,Stay,STAY (with Justin Bieber),5HCyWlXZPP0y6Gqq8TgA20,2tIP7SsRs7vjIcLrU85W8J,2,98.0,141805.0,2021-07-09
3,All I Want For Christmas Is You,Merry Christmas,0bYg9bo50gSsH3LtXe2SQn,4iHNK0tOyZPYnBU7nGAgpQ,3,96.0,241106.0,1994-11-01
4,Rockin' Around The Christmas Tree,Merry Christmas From Brenda Lee,2EjXfH91m7f8HiJN1yQg97,4cPHsZM98sKzmV26wlwD2W,4,92.0,126266.0,1964-10-19
5,Jingle Bell Rock,Jingle Bell Rock/Captain Santa Claus (And His Reindeer Space Patrol),7vQbuQcyTflfCIOu3Uzzya,38EmEgXkgK51MT2tPY0EoC,5,92.0,130973.0,1957-12-02
6,Industry Baby,INDUSTRY BABY (feat. Jack Harlow),27NovPIUIRrOZoCHxABJwK,7jVv8c5Fj3E9VhNjxT4snq,6,97.0,212000.0,2021-07-23
7,A Holly Jolly Christmas,Have A Holly Jolly Christmas,77khP2fIVhSW23NwxrRluh,0MHgLfmQdutffmvWe5XBTN,7,84.0,135533.0,1965-01-01
8,Heat Waves,Dreamland,3USxtqRwSYz57Ewm6wWRMp,4yvcSjfu4PC0CYQyLy4wSq,8,90.0,238805.0,2020-08-07
9,Shivers,=,50nfwKoDiSYg8zOCREWAm5,6eUKZXaKkcviH0Ku9w2n3V,9,95.0,207853.0,2021-10-29
10,Need To Know,Planet Her,3Vi5XqYrmQgOYBajMWSvCi,5cj0lLjcoR7YOSnhnX0Po5,10,94.0,210560.0,2021-06-25
11,"
It's The Most Wonderful Time Of The Year",The Andy Williams Christmas Album,5hslUAKq9I9CG2bAulFkHN,4sj6D0zlMOl25nprDJBiU9,11,90.0,151933.0,1963-11-24
12,Bad Habits,=,3rmo8F54jFF8OgYsqTxm5d,6eUKZXaKkcviH0Ku9w2n3V,12,94.0,230746.0,2021-10-29
13,Cold Heart (PNAU Remix),Cold Heart (PNAU Remix),6zSpb8dQRaw0M1dK8PBwQz,3PhoLpVuITZKcymswpck5b,13,97.0,202735.0,2021-08-13
14,Smokin Out The Window,Smokin Out The Window,4iN16F8JtVxG2UTzp3avGl,0du5cEVh5yTK9QJze8zA0C,14,91.0,197442.0,2021-11-05
15,Last Christmas,LAST CHRISTMAS,2FRnf9qhLbvw8fu4IBXx78,5lpH0xAS4fVfLkACg9DAuM,15,92.0,262960.0,1984-11-29
16,Feliz Navidad,Feliz Navidad,0oPdaY4dXtc3ZsaG17V972,7K78lVZ8XzkjfRSI7570FF,16,83.0,182066.0,2002-09-24
17,Christmas (Baby Please Come Home),Merry Christmas,3PIDciSFdrQxSQSihim3hN,4iHNK0tOyZPYnBU7nGAgpQ,17,84.0,153240.0,1994-11-01
18,The Christmas Song (Merry Christmas To You),The Christmas Song (Expanded Edition),4PS1e8f2LvuTFgUs1Cn3ON,7v4imS0moSyGdXyLgVTIV7,18,87.0,192160.0,1962
19,Sleigh Ride,A Christmas Gift For You From Phil Spector,5ASM6Qjiav2xPe7gRkQMsQ,0LyfQWJT6nXafLPZqxe9Of,19,87.0,181266.0,1963
20,It's Beginning To Look A Lot Like Christmas,Greatest Christmas Songs,2pXpURmn6zC5ZYDMms6fwa,5v8jlSmAQfrkTjAlpUfWtu,20,86.0,155933.0,1999-08-20
21,All Too Well (Taylor's Version),Red (Taylor's Version),5enxwA8aAbwZbf5qCHORXi,06HL4z0CvFAxyc27GXpf02,21,96.0,613026.0,2021-11-12
22,"Let It Snow, Let It Snow, Let It Snow",Christmas Songs by Sinatra,4kKdvXD0ez7jp1296JmAts,1Mxqyy3pSjf8kZZL4QVxS0,22,88.0,155453.0,1994-11-08
23,Fancy Like,Country Stuff,3ZozFqJJlDBNIm4xqxn2ZD,7sKxqpSqbIzphAKAhrqvlf,23,83.0,161853.0,2021-06-04
