song_ID,song_title,track_spotify_ID,song_ranking,spotify_popularity,artist_spotify_ID,song_duration[ms],album_name,song_release_date
1,Easy On Me,0gplL1WMoJ6iYaPgMCL0gX,1,100.0,4dpARuHxo51G3z768sgnrY,224694.0,Easy On Me,2021-10-14
2,Stay,5HCyWlXZPP0y6Gqq8TgA20,2,98.0,2tIP7SsRs7vjIcLrU85W8J,141805.0,STAY (with Justin Bieber),2021-07-09
3,All I Want For Christmas Is You,0bYg9bo50gSsH3LtXe2SQn,3,96.0,4iHNK0tOyZPYnBU7nGAgpQ,241106.0,Merry Christmas,1994-11-01
4,Rockin' Around The Christmas Tree,2EjXfH91m7f8HiJN1yQg97,4,92.0,4cPHsZM98sKzmV26wlwD2W,126266.0,Merry Christmas From Brenda Lee,1964-10-19
5,Jingle Bell Rock,7vQbuQcyTflfCIOu3Uzzya,5,92.0,38EmEgXkgK51MT2tPY0EoC,130973.0,Jingle Bell Rock/Captain Santa Claus (And His Reindeer Space Patrol),1957-12-02
6,Industry Baby,27NovPIUIRrOZoCHxABJwK,6,97.0,7jVv8c5Fj3E9VhNjxT4snq,212000.0,INDUSTRY BABY (feat. Jack Harlow),2021-07-23
7,A Holly Jolly Christmas,77khP2fIVhSW23NwxrRluh,7,84.0,0MHgLfmQdutffmvWe5XBTN,135533.0,Have A Holly Jolly Christmas,1965-01-01
8,Heat Waves,3USxtqRwSYz57Ewm6wWRMp,8,90.0,4yvcSjfu4PC0CYQyLy4wSq,238805.0,Dreamland,2020-08-07
9,Shivers,50nfwKoDiSYg8zOCREWAm5,9,95.0,6eUKZXaKkcviH0Ku9w2n3V,207853.0,=,2021-10-29
10,Need To Know,3Vi5XqYrmQgOYBajMWSvCi,10,94.0,5cj0lLjcoR7YOSnhnX0Po5,210560.0,Planet Her,2021-06-25
11,"
It's The Most Wonderful Time Of The Year",5hslUAKq9I9CG2bAulFkHN,11,90.0,4sj6D0zlMOl25nprDJBiU9,151933.0,The Andy Williams Christmas Album,1963-11-24
12,Bad Habits,3rmo8F54jFF8OgYsqTxm5d,12,94.0,6eUKZXaKkcviH0Ku9w2n3V,230746.0,=,2021-10-29
13,Cold Heart (PNAU Remix),6zSpb8dQRaw0M1dK8PBwQz,13,97.0,3PhoLpVuITZKcymswpck5b,202735.0,Cold Heart (PNAU Remix),2021-08-13
14,Smokin Out The Window,4iN16F8JtVxG2UTzp3avGl,14,91.0,0du5cEVh5yTK9QJze8zA0C,197442.0,Smokin Out The Window,2021-11-05
15,Last Christmas,2FRnf9qhLbvw8fu4IBXx78,15,92.0,5lpH0xAS4fVfLkACg9DAuM,262960.0,LAST CHRISTMAS,1984-11-29
16,Feliz Navidad,0oPdaY4dXtc3ZsaG17V972,16,83.0,7K78lVZ8XzkjfRSI7570FF,182066.0,Feliz Navidad,2002-09-24
17,Christmas (Baby Please Come Home),3PIDciSFdrQxSQSihim3hN,17,84.0,4iHNK0tOyZPYnBU7nGAgpQ,153240.0,Merry Christmas,1994-11-01
18,The Christmas Song (Merry Christmas To You),4PS1e8f2LvuTFgUs1Cn3ON,18,87.0,7v4imS0moSyGdXyLgVTIV7,192160.0,The Christmas Song (Expanded Edition),1962
19,Sleigh Ride,5ASM6Qjiav2xPe7gRkQMsQ,19,87.0,0LyfQWJT6nXafLPZqxe9Of,181266.0,A Christmas Gift For You From Phil Spector,1963
20,It's Beginning To Look A Lot Like Christmas,2pXpURmn6zC5ZYDMms6fwa,20,86.0,5v8jlSmAQfrkTjAlpUfWtu,155933.0,Greatest Christmas Songs,1999-08-20
21,All Too Well (Taylor's Version),5enxwA8aAbwZbf5qCHORXi,21,96.0,06HL4z0CvFAxyc27GXpf02,613026.0,Red (Taylor's Version),2021-11-12
22,"Let It Snow, Let It Snow, Let It Snow",4kKdvXD0ez7jp1296JmAts,22,88.0,1Mxqyy3pSjf8kZZL4QVxS0,155453.0,Christmas Songs by Sinatra,1994-11-08
23,Fancy Like,3ZozFqJJlDBNIm4xqxn2ZD,23,83.0,7sKxqpSqbIzphAKAhrqvlf,161853.0,Country Stuff,2021-06-04
24,abcdefu,4fouWK6XVHhzl78KzQ1UjL,24,96.0,2VSHKHBTiXWplO8lxcnUC9,168601.0,abcdefu,2021-08-13
25,White Christmas,4so0Wek9Ig1p6CRCHuINwW,25,85.0,6ZjFtWeHP9XN7FeKSUe80S,177480.0,Holiday Inn (Original Motion Picture Soundtrack),1942-01-01
