,song_ranking,artist_name,song_title
0,1,Adele,Easy On Me
1,2,The Kid LAROI & Justin Bieber,Stay
2,3,Mariah Carey,All I Want For Christmas Is You
3,4,Brenda Lee,Rockin' Around The Christmas Tree
4,5,Bobby Helms,Jingle Bell Rock
5,6,Lil Nas X & Jack Harlow,Industry Baby
6,7,Burl Ives,A Holly Jolly Christmas
7,8,Glass Animals,Heat Waves
8,9,Ed Sheeran,Shivers
9,10,Doja Cat,Need To Know
10,11,Andy Williams,It's The Most Wonderful Time Of The Year
11,12,Ed Sheeran,Bad Habits
12,13,Elton John & Dua Lipa,Cold Heart (PNAU Remix)
13,14,Silk Sonic (Bruno Mars & Anderson .Paak),Smokin Out The Window
14,15,Wham!,Last Christmas
15,16,Jose Feliciano,Feliz Navidad
16,17,Darlene Love,Christmas (Baby Please Come Home)
17,18,Nat King Cole,The Christmas Song (Merry Christmas To You)
18,19,The Ronettes,Sleigh Ride
19,20,Michael Buble,It's Beginning To Look A Lot Like Christmas
20,21,Taylor Swift,All Too Well (Taylor's Version)
21,22,Dean Martin,"Let It Snow, Let It Snow, Let It Snow"
22,23,Walker Hayes,Fancy Like
23,24,GAYLE,abcdefu
24,25,Bing Crosby,White Christmas
25,26,Olivia Rodrigo,Good 4 U
26,27,Kelly Clarkson,Underneath The Tree
27,28,Wizkid Featuring Justin Bieber & Tems,Essence
28,29,Doja Cat & The Weeknd,You Right
29,30,Andy Williams,Happy Holiday / The Holiday Season
30,31,Drake Featuring Future & Young Thug,Way 2 Sexy
31,32,Maneskin,Beggin'
32,33,Post Malone & The Weeknd,One Right Now
33,34,Doja Cat Featuring SZA,Kiss Me More
34,35,Gene Autry,Rudolph The Red-Nosed Reindeer
35,36,Ariana Grande,Santa Tell Me
36,37,Adele,Oh My God
37,38,The Weeknd & Ariana Grande,Save Your Tears
38,39,Justin Bieber,Ghost
39,40,Chuck Berry,Run Rudolph Run
40,41,Drake Featuring 21 Savage & Project Pat,Knife Talk
41,42,Jason Aldean & Carrie Underwood,If I Didn't Love You
42,43,Lil Nas X,Thats What I Want
43,44,Billie Eilish,Happier Than Ever
44,45,NEIKED X Mae Muller X Polo G,Better Days
45,46,Perry Como,(There's No Place Like) Home For The Holidays
46,47,CKay,Love Nwantiti (Ah Ah Ah)
47,48,THE ANXIETY: WILLOW & Tyler Cole,Meet Me At Our Spot
48,49,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,Thinking 'Bout You
49,50,Drake Featuring Lil Baby,Girls Want Girls
50,51,Coldplay x BTS,My Universe
51,52,Luke Combs,Cold As You
52,53,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage",Who Want Smoke??
53,54,Jordan Davis Featuring Luke Bryan,Buy Dirt
54,55,Kodak Black,Super Gremlin
55,56,Farruko,Pepas
56,57,Chris Stapleton,You Should Probably Leave
57,58,Rod Wave,By Your Side
58,59,Blxst & Tyga Featuring Ty Dolla $ign,Chosen
59,60,Zac Brown Band,Same Boat
60,61,Michael Ray,Whiskey And Rain
61,62,Chloe,Have Mercy
62,63,Normani Featuring Cardi B,Wild Side
63,64,Morgan Wallen,Sand In My Boots
64,65,Kane Brown,One Mississippi
65,66,Kenny Chesney,Knowing You
66,67,Adele,My Little Love
67,68,Baby Keem & Kendrick Lamar,Family Ties
68,69,Imagine Dragons X JID,Enemy
69,70,Capella Grey,Gyalis
70,71,Latto,Big Energy
71,72,Meek Mill Featuring Lil Baby & Lil Durk,Sharing Locations
72,73,Summer Walker & SZA,No Love
73,74,Adele,Can I Get It
74,75,Juice WRLD,Already Dead
75,76,Adele,I Drink Wine
76,77,Dan + Shay,Pick Out A Christmas Tree
77,78,Taylor Swift,Message In A Bottle (Taylor's Version) (From The Vault)
78,79,Jon Pardi,Tequila Little Time
79,80,Jimmie Allen & Brad Paisley,Freedom Was A Highway
80,81,Priscilla Block,Just About Over You
81,82,Taylor Swift,Christmas Tree Farm (Old Timey Version)
82,83,Young Thug With Drake & Travis Scott,Bubbly
83,84,Polo G,Bad Man (Smooth Criminal)
84,85,Giveon,For Tonight
85,86,Drake Featuring Travis Scott,Fair Trade
86,87,Wale Featuring J. Cole,Poke It Out
87,88,Cody Johnson,'Til You Can't
88,89,Moneybagg Yo, Scorpio
89,90,Doja Cat,Woman	
90,91,Lee Brice,Memory I Don't Mess With
91,92,Eric Church,Heart On Fire
92,93,Kelsea Ballerini Featuring Kenny Chesney,Half Of My Hometown
93,94,Swedish House Mafia & The Weeknd,Moth To A Flame
94,95,Jessie Murph,Always Been You
95,96,Jonas Brothers,Who's In Your Head
96,97,"Yung Bleu, Chris Brown & 2 Chainz",Baddest
97,98,42 Dugg Featuring Future,Maybach
98,99,Aventura x Bad Bunny,Volvi
99,100,Summer Walker & JT,Ex For A Reason
